"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di eta","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITE","Centro","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q1","T1-2023",18.962315,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q2","T2-2023",22.491264,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q3","T3-2023",17.773021,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2023-Q4","T4-2023",29.296961,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q1","T1-2024",32.517108,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q2","T2-2024",23.746519,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q3","T3-2024",14.273079,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","2","femmine","Y15-24","15-24 anni","2024-Q4","T4-2024",16.991332,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023","2023",19.470853,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024","2024",18.140633,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q1","T1-2023",19.814709,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q2","T2-2023",18.200759,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q3","T3-2023",15.22053,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2023-Q4","T4-2023",24.503517,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q1","T1-2024",22.167239,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q2","T2-2024",19.321163,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q3","T3-2024",14.678364,,
"ITE","Centro","UNEM_R","tasso di disoccupazione","9","totale","Y15-24","15-24 anni","2024-Q4","T4-2024",17.040924,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2023","2023",9.489122,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2024","2024",8.410659,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2023-Q1","T1-2023",10.856193,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2023-Q2","T2-2023",9.213821,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2023-Q3","T3-2023",8.648282,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2023-Q4","T4-2023",9.24872,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2024-Q1","T1-2024",9.719351,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2024-Q2","T2-2024",8.098546,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2024-Q3","T3-2024",7.719197,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2024-Q4","T4-2024",8.105225,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2023","2023",11.411712,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2024","2024",10.027578,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2023-Q1","T1-2023",12.598425,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2023-Q2","T2-2023",10.357617,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2023-Q3","T3-2023",11.708747,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2023-Q4","T4-2023",10.999586,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2024-Q1","T1-2024",11.090096,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2024-Q2","T2-2024",10.600199,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2024-Q3","T3-2024",8.664634,,
"IT","Italia","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2024-Q4","T4-2024",9.710384,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2023","2023",10.320544,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2024","2024",9.115215,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2023-Q1","T1-2023",11.613581,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2023-Q2","T2-2023",9.709534,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2023-Q3","T3-2023",9.953198,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2023-Q4","T4-2023",10.010667,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2024-Q1","T1-2024",10.319478,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2024-Q2","T2-2024",9.205811,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2024-Q3","T3-2024",8.126505,,
"IT","Italia","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2024-Q4","T4-2024",8.798036,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2023","2023",4.779649,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2024","2024",4.661556,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2023-Q1","T1-2023",5.338105,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2023-Q2","T2-2023",4.32634,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2023-Q3","T3-2023",4.743311,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2023-Q4","T4-2023",4.720457,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2024-Q1","T1-2024",5.314882,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2024-Q2","T2-2024",3.643862,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2024-Q3","T3-2024",4.884104,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2024-Q4","T4-2024",4.792995,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2023","2023",6.066107,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2024","2024",5.315835,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2023-Q1","T1-2023",5.729173,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2023-Q2","T2-2023",5.172573,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2023-Q3","T3-2023",6.994686,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2023-Q4","T4-2023",6.400118,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2024-Q1","T1-2024",5.298882,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2024-Q2","T2-2024",5.305089,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2024-Q3","T3-2024",5.874398,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","2","femmine","Y25-34","25-34 anni","2024-Q4","T4-2024",4.776879,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2023","2023",5.353796,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2024","2024",4.954742,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2023-Q1","T1-2023",5.514708,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2023-Q2","T2-2023",4.70597,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2023-Q3","T3-2023",5.725654,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2023-Q4","T4-2023",5.473849,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2024-Q1","T1-2024",5.307745,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2024-Q2","T2-2024",4.400667,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2024-Q3","T3-2024",5.326466,,
"ITCD","Nord","UNEM_R","tasso di disoccupazione","9","totale","Y25-34","25-34 anni","2024-Q4","T4-2024",4.78584,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2023","2023",4.921357,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y25-34","25-34 anni","2024","2024",5.261876,,
